NUM_REG,NOMBRE_COMERCIAL,TELEFONO,CALLE,LOCALIDAD,MUNICIPIO,CODIGO_POSTAL,NUMERO,PROVINCIA
05-E1-00056,PACHECO LUENGO  JOSE MARIA / RUIZ SOLDEVILLA  FRANCISCO JAVIER,918630035,AVDA  CONSTITUCION                                      ,CEBREROS,CEBREROS,05260,52,AVILA
05-E1-00059,CASELLES ALBARRAN  ROSA,920342805,AVDA  ESCUELAS                                          ,PUERTO CASTILLA,PUERTO CASTILLA,05621,S/N,AVILA
05-E1-00060,SILVA SUAREZ  MARIA,920327036,PLAZA CALVO SOTELO                                      ,HORCAJO DE LAS TORRES,HORCAJO DE LAS TORRES,05210,3,AVILA
05-E1-00061,GOMEZ DUEÑAS  JOSE LUIS / GOMEZ DUEÑAS  SUSANA,918970062,AVDA  PRINCIPAL                                         ,NAVAS DEL MARQUES (LAS),NAVAS DEL MARQUES  LAS,05230,17,AVILA
05-E1-00062,GONZALEZ JIMENEZ  MARIA,920340020,CALLE AVDA. JOSE ANTONIO VACA DE OSMA,BARCO DE AVILA (EL),BARCO DE AVILA  EL,,3,AVILA
05-E1-00063,MANZANEQUE GARCIA  JOSE ALBERTO,920234233,CALLE SANTA TERESA                                      ,CABEZAS DEL VILLAR,CABEZAS DEL VILLAR,05148,22,AVILA
05-E1-00064,MAYORAL GAMAZO  ALEJANDRO,920340071,CALLE MAYOR                                             ,BARCO DE AVILA (EL),BARCO DE AVILA  EL,05600,36,AVILA
05-E1-00065,ALEMAN SIERRA  ESTHER,920374253,CALLE CANCHUELA,GUISANDO,GUISANDO,05417,15,AVILA
05-E1-00066,GARROSA BLAZQUEZ  BEATRIZ,920260050,CALLE MAYOR                                             ,CARDEÑOSA,CARDEÑOSA,05320,4,AVILA
05-E1-00067,BLASCO MARHUENDA  CARLOS,920300500,CALLE TESO NUEVO (DEL)                                  ,AREVALO,AREVALO,05200,6,AVILA
05-E1-00068,DE VILLAREAL MENA  JOAQUIN,920378602,CALLE REGUERA (LA)                                      ,LANZAHITA,LANZAHITA,05490,2,AVILA
05-E1-00069,ALVAREZ GOMEZ  MARIA PALOMA,920370042,PLAZA PRADO                                             ,ARENAS DE SAN PEDRO,ARENAS DE SAN PEDRO,05400,4,AVILA
05-E1-00070,CARVAJAL GALLARDO  PALOMA,918972253,AVDA  PRINCIPAL                                         ,NAVAS DEL MARQUES (LAS),NAVAS DEL MARQUES  LAS,05230,55,AVILA
05-E1-00072,JIMENEZ RODRIGUEZ  JOAQUIN,920297628,CALLE SANTIAGO                                          ,NAVARREDONDILLA,NAVARREDONDILLA,05120,5,AVILA
05-E1-00073,TERCIADO VALLS  MARTA,920200257,CALLE HERMANOS RAMOS SAEZ                               ,VELAYOS,VELAYOS,05292,9,AVILA
05-E1-00074,MARTIN HERRERO  FRANCISCO JAVIER,920314003,PLAZA GENERALISIMO                                      ,NAVA DE AREVALO,NAVA DE AREVALO,05216,4,AVILA
05-E1-00075,LADRON DE CEGAMA MARTIN  MARIA ROCIO,920320565,CALLE ISABEL LA CATOLICA                                ,MADRIGAL DE LAS ALTAS TORRES,MADRIGAL DE LAS ALTAS TORRES,05220,11,AVILA
05-E1-00076,SANCHEZ BLAZQUEZ  MARIA BELEN,920367130,CALLE SAN CRISTOBAL,SANTA MARIA DEL BERROCAL,SANTA MARIA DEL BERROCAL,05510,8,AVILA
05-E1-00077,MONTEAGUDO BENITO  MONTSERRAT,920286162,CALLE IGLESIA                                           ,NAVALUENGA,NAVALUENGA,05100,24,AVILA
05-E1-00078,FERNANDO GARCIA  SARA,920222858,CALLE SEGOVIA                                           ,AVILA,AVILA,05005,20,AVILA
05-E1-00079,MARTIN SANCHEZ  MARIA ISABEL,920365072,PLAZA EGIDO                                             ,DIEGO ALVARO,DIEGO DEL CARPIO,05151,30,AVILA
05-E1-00080,DE ANCOS LUMBRERAS  MARIA NATIVIDAD,920352098,CALLE NUESTRA SEÑORA DE SONSOLES                        ,AVILA,AVILA,05002,83,AVILA
05-E1-00081,DEL CAÑIZO TEJERIZO  NATALIA / DEL CAÑIZO TEJERIZO  SONSOLES,918638122,CALLE ANTONIO MACHADO                                   ,HOYO DE PINARES (EL),HOYO DE PINARES  EL,05250,2,AVILA
05-E1-00082,MARTIN HERNANDEZ  PATRICIA,920349561,CTRA  PLAZA CONSTITUCION,NAVALPERAL DE TORMES,NAVALPERAL DE TORMES,05631,1,AVILA
05-E1-00083,AYUSO RODRIGUEZ  SUSANA,918667125,CALLE ARROZ (EL)                                        ,CASILLAS,CASILLAS,05428,28,AVILA
05-E1-00084,MORENO LOPEZ  LUIS MIGUEL / RODRIGUEZ BLANCO  PATRICIA,920384656,AVDA  ANTONIO FERNANDEZ ORTS                            ,GAVILANES,GAVILANES,05460,6,AVILA
05-E1-00085,HERNANDEZ HERNANDEZ  ALICIA,920289117,CALLE JOSE ANTONIO                                      ,SERRANILLOS,SERRANILLOS,05115,72,AVILA
05-E1-00086,ENCINAR SANTAMARIA  DIEGO,920272368,CALLE CARRETERA                                         ,CAÑADA (LA),HERRADON DE PINARES,05294,5,AVILA
05-E1-00087,DE CASTRO RODRIGUEZ  OSCAR,920383296,CTRA  AVILA                                             ,CUEVAS DEL VALLE,CUEVAS DEL VALLE,05414,36,AVILA
05-E1-00088,GOMEZ HURTADO  LUIS,920296331,CALLE GONZALO DEL RIO                                   ,SANTA MARIA DEL TIETAR,SANTA MARIA DEL TIETAR,05429,46,AVILA
05-E1-00090,ALVARO PINTO  MONICA,920267104,CALLE SAN MARCOS                                        ,TIÑOSILLOS,TIÑOSILLOS,05165,1,AVILA
05-E1-00091,LOPEZ MAYA  MARIA SOFIA,920297150,PLAZA GENERAL MOLA,SAN JUAN DE LA NAVA,SAN JUAN DE LA NAVA,05111,43,AVILA
05-E1-00093,HERNANDEZ HERNANDEZ  MARIA LUISA,920349042,CALLE MIRA DE GREDOS (DE LA)                            ,HOYOS DEL ESPINO,HOYOS DEL ESPINO,05634,9,AVILA
05-E1-00094,BLAZQUEZ SANCHEZ  FERNANDO,920347096,CALLE ESCUELAS                                          ,BOHOYO,BOHOYO,05690,S/N,AVILA
05-E1-00095,LUCAS HERNANDEZ  TERESA,920374529,CALLE SAN MARCOS                                        ,HORNILLO (EL),HORNILLO  EL,05415,S/N,AVILA
05-E1-00096,VALDES SANCHEZ  CARMEN,920299356,CALLE PILON                                             ,NAVALOSA,NAVALOSA,05123,S/N,AVILA
05-E1-00097,MORENO SANCHEZ  CELIA,920265480,CTRA  MIRONCILLO (DE)                                   ,NIHARRA,NIHARRA,05191,9,AVILA
05-E1-00098,PEREZ GASCH  CARLOS,920308109,CALLE CAÑO (DEL)                                        ,PALACIOS DE GODA,PALACIOS DE GODA,05215,7,AVILA
05-E1-00099,CORDON MARCOS  CARLOS,920261053,PLAZA IGLESIA (DE LA)                                   ,HERNANSANCHO,HERNANSANCHO,05164,19,AVILA
05-E1-00100,MARTIN RODRIGO  MARIA CARMEN,920280272,CALLE PERALES (LOS)                                     ,NAVALMORAL,NAVALMORAL,,11,AVILA
05-E1-00101,HERNANDEZ SANCHEZ  MARIA DE LA ALMUDENA,920269917,CALLE CORDEL (DEL)                                      ,FRESNO (EL),FRESNO  EL,05197,1,AVILA
05-E1-00102,GRANDE GARCIA  YOLANDA,920289087,PLAZA CONSTITUCION (DE LA)                              ,NAVARREVISCA,NAVARREVISCA,05115,24,AVILA
05-E1-00103,RUBIO CONTRERAS  CLARA ISABEL,920307029,CALLE 28 DE JUNIO DE 1942                               ,ADANERO,ADANERO,05296,4,AVILA
05-E1-00104,ARMADA MARTINEZ DE CAMPOS  MARIA DOLORES,920255505,AVDA  JUAN CARLOS I                                     ,AVILA,AVILA,05004,33,AVILA
05-E1-00106,SANCHEZ GIL  ROSA M,920343847,CALLE PLAZA                                             ,NAVALONGUILLA,NAVALONGUILLA,05697,112,AVILA
05-E1-00107,KARINA SENKOVICH  DRINKA,918673012,CALLE CONSTITUCION,HIGUERA DE LAS DUEÑAS,HIGUERA DE LAS DUEÑAS,05427,38,AVILA
05-E1-00108,RODRIGUEZ VILLEGAS  MARIA LUISA,920364623,CALLE CUESTA                                            ,MALPARTIDA DE CORNEJA,MALPARTIDA DE CORNEJA,05153,S/N,AVILA
05-E1-00109,LASTRAS AJATES  ESTEFANIA,920241407,CALLE AVILA                                             ,PAPATRIGO,PAPATRIGO,05358,S/N,AVILA
05-E1-00110,PEREZ CALVO  MARIA CARMEN,923566309,CALLE TREPINALDO                                        ,HERREROS DE SUSO,HERREROS DE SUSO,05146,5,AVILA
05-E1-00111,ZAMORA JIMENEZ  NURIA,920269474,CTRA  AVILA MUÑICO                                      ,MARTIHERRERO,MARTIHERRERO,05140,S/N,AVILA
05-E1-00113,CARRETERO DIAZ  BEGOÑA,920276057,CALLE PLAZA (DE LA)                                     ,TORNADIZOS DE AVILA,TORNADIZOS DE AVILA,05196,26,AVILA
05-E1-00114,CARRETERO GONZALEZ  MARIA AFRICA,920256087,CALLE ENCARNACION  S/N,AVILA,AVILA,05001,S/N,AVILA
05-E1-00116,REBOLLO RUEDA  RAQUEL,920295702,CALLE LANCHA (LA)                                       ,VILLANUEVA DE AVILA,VILLANUEVA DE AVILA,05114,9,AVILA
05-E1-00118,MONTERO MUÑOZ  ALMUDENA,920324099,TRVA  NORTE                                             ,CANTIVEROS,CANTIVEROS,05211,1,AVILA
05-E1-00119,DE FRANCISCO LOPEZ  TAMARA,920271446,CALLE MAYOR                                             ,SANTA CRUZ DE PINARES,SANTA CRUZ DE PINARES,05268,4,AVILA
05-E1-00120,SANCHEZ GOMEZ  RODRIGO,920269886,CALLE SANTISIMO CRISTO (DEL)                            ,GEMUÑO,GEMUÑO,,4,AVILA
05-E1-00121,HERNANDEZ GARCIA  MARIA CRISTINA,920306182,PLAZA ESCUELAS                                          ,ALDEASECA,ALDEASECA,05212,3,AVILA
05-E1-00122,BECERRIL CHAMORRO  ELVIRA,920223572,CALLE PLAZA (DE LA)                                     ,PADIERNOS,PADIERNOS,05520,22,AVILA
05-E1-00123,RAMOS GUDINO  ELENA,920344106,CALLE ANGOSTA                                           ,ALDEHUELA (LA),ALDEHUELA  LA,05593,5,AVILA
05-E1-00124,GARCIA HOLGADO  MARIA ANGELES,920370980,CALLE AVDA. DE LOURDES,ARENAS DE SAN PEDRO,ARENAS DE SAN PEDRO,05400,29,AVILA
05-E1-00126,PLAZA PINTO  MARTA,918899288,PLAZA CONSTITUCION                                      ,BARROMAN,BARROMAN,05229,0,AVILA
05-E1-00127,PINDADO MAÑOSO  BORJA,920256429,CALLE AGUSTIN RODRIGUEZ SAHAGUN                         ,AVILA,AVILA,05003,30,AVILA
05-E1-00131,PEREZ JIMENEZ  CARLOS / PEREZ JIMENEZ  LUCIA,,CALLE  DOCTOR ARCADIO GONZALEZ ,CEBREROS,CEBREROS,,8,AVILA
05-E1-00132,SAENZ DE MIERA MUÑOZ  ALFREDO,,CALLE HORNOS CALEROS (DE LOS)                           ,AVILA,AVILA,05003,60,AVILA
05-E1-00133,MARTIN MARTIN  VEGA,,PLAZA BENJAMIN PALENCIA                                 ,VILLAFRANCA DE LA SIERRA,VILLAFRANCA DE LA SIERRA,05571,S/N,AVILA
05-E1-00134,GRANDE FERNANDEZ  MARIA,,CALLE CALENDULA,AVILA,AVILA,05001,2,AVILA
05-E1-00135,FERNANDEZ SANCHEZ  PEDRO,,CALLE PISCINAS (DE LAS)                                 ,AREVALO,AREVALO,05200,1,AVILA
05-E1-00136,RODRIGUEZ SANCHEZ  VICENTE,,CALLE REJERO LORENZO DE AVILA                           ,AVILA,AVILA,05004,4,AVILA
05-E1-00137,VARAS REVIEJO  LUCIA,,PASEO RECOLETOS (DE)                                    ,TIEMBLO (EL),TIEMBLO  EL,05270,26,AVILA
05-E1-00138,COLLADO DIAZ  PATRICIA / GALAN MARTIN  JESUS,,CALLE DOCTOR JESUS GALAN                                ,AVILA,AVILA,05003,28,AVILA
05-E1-00139,CASILLAS VAZQUEZ  MIGUEL,,CALLE VALLE DEL TIETAR                                  ,AVILA,AVILA,05002,6,AVILA
05-E1-00140,JIMENEZ LABAIG  MARIA EUGENIA,,CALLE OBISPO ACUÑA                                      ,AVILA,AVILA,05002,10,AVILA
05-E1-00141,DEL POZO HERNANDEZ  MARIA INMACULADA,,CALLE MATADERO VIEJO,MUÑOGALINDO,MUÑOGALINDO,05530,0,AVILA
09-E1-00001,IZARRA GONZALO  ISABEL,,CALLE CID CAMPEADOR,BURGOS,BURGOS,09005,45,BURGOS
09-E1-00002,MORAL ORTIZ  ANA PILAR,947204274,CALLE JOSE LUIS SANTAMARIA,BURGOS,BURGOS,09003,47,BURGOS
09-E1-00003,MARMOLEJOS   CATHERINE FAVEL,947201717,PASEO ESPOLON                                           ,BURGOS,BURGOS,09003,22,BURGOS
09-E1-00004,RAMIREZ ALONSO  PALOMA,947202419,CALLE VITORIA                                           ,BURGOS,BURGOS,09004,20,BURGOS
09-E1-00005,TOMAS GARCIA  MARIA PILAR,,PLAZA VEGA                                              ,BURGOS,BURGOS,09002,11,BURGOS
09-E1-00006,GURPEGUI MARIN  MARIO,,PLAZA MAYOR                                             ,BURGOS,BURGOS,09003,19,BURGOS
09-E1-00007,GONZALEZ DE LA FUENTE  MARTA,947201530,AVDA  CID CAMPEADOR                                     ,BURGOS,BURGOS,09005,6,BURGOS
09-E1-00008,GRAÑON PEREZ  MARIA PAZ,947206531,CALLE EDUARDO MARTINEZ DEL CAMPO                        ,BURGOS,BURGOS,09003,2,BURGOS
09-E1-00009,MANZANO MANZANO  BLANCA ISABEL,947203880,PLAZA MIO CID                                           ,BURGOS,BURGOS,09004,2,BURGOS
09-E1-00010,PALACIN ARCE  ALBA,947201174,PLAZA MAYOR                                             ,BURGOS,BURGOS,,12,BURGOS
09-E1-00011,FERNANDEZ EROLES  OSCAR,947211606,CALLE BARTOLOME ORDOÑEZ                                 ,BURGOS,BURGOS,09006,1,BURGOS
09-E1-00012,LLORENTE PASCUAL  FRANCISCO JAVIER,,CALLE MADRID                                            ,BURGOS,BURGOS,09001,29,BURGOS
09-E1-00013,MARTINEZ PEÑA  CRISTINA,947201545,CALLE CARDENAL SEGURA                                   ,BURGOS,BURGOS,09003,8,BURGOS
09-E1-00014,SERRANO LLAMAZARES  ROBERTO,947405076,CALLE SAN MIGUEL,ARCOS,ARCOS,,38,BURGOS
09-E1-00015,ALONSO CANO  BLANCA ISABEL,,CALLE RIBERA                                            ,ARLANZON,ARLANZON,09199,2,BURGOS
09-E1-00016,SAENZ RUIZ  ALBERTO,947441196,CTRA  BURGOS SANTANDER                                  ,SOTOPALACIOS,MERINDAD DE RIO UBIERNA,09140,22,BURGOS
09-E1-00017,NAVARRO GONZALEZ  MERCEDES,947453130,CTRA  AGUILAR                                           ,SANTIBAÑEZ-ZARZAGUDA,VALLE DE SANTIBAÑEZ,09150,33,BURGOS
09-E1-00018,MARTINEZ PEREZ  LUIS ANGEL,947451022,CALLE MEDIODIA,TARDAJOS,TARDAJOS,09130,6,BURGOS
09-E1-00019,PRADA DE LAS HERAS  ANA,947500185,CALLE ISILLA                                            ,ARANDA DE DUERO,ARANDA DE DUERO,09400,30,BURGOS
09-E1-00020,PORTELA ARRIBAS  BLANCA,947500151,PLAZA MAYOR                                             ,ARANDA DE DUERO,ARANDA DE DUERO,09400,18,BURGOS
09-E1-00021,LAZARO CEBAS  JULIAN,947500269,PLAZA MAYOR                                             ,ARANDA DE DUERO,ARANDA DE DUERO,09400,10,BURGOS
09-E1-00022,BUENO SAIZ  MARIA MARINA,,CALLE CARRETERA LOGROÑO                                 ,IBEAS DE JUARROS,IBEAS DE JUARROS,09198,58,BURGOS
09-E1-00023,ANGULO ROSA  MARIA CARMEN,,CALLE ARIAS DE MIRANDA                                  ,FUENTESPINA,FUENTESPINA,,22,BURGOS
09-E1-00025,BENITO BARRIUSO  MARIA LUISA,947502600,CALLE JARDINES                                          ,VILLALBA DE DUERO,VILLALBA DE DUERO,09443,1,BURGOS
09-E1-00026,NUÑEZ MARTINEZ  MARIA LUISA,,CALLE DON PRUDENCIO ORTEGO                              ,VADOCONDES,VADOCONDES,09491,S/N,BURGOS
09-E1-00027,ORTIZ TORRES  LARA,947536170,CALLE COSTANILLA                                        ,CASTRILLO DE LA VEGA,CASTRILLO DE LA VEGA,09391,56,BURGOS
09-E1-00028,SANCHEZ GARCIA  RAQUEL,947544104,CALLE SANTA MARIA                                       ,GUMIEL DE IZAN,GUMIEL DE IZAN,09370,2,BURGOS
09-E1-00029,LINARES HERNANDEZ  MYRIAM,947548141,AVDA  CASTILLA                                          ,MILAGROS,MILAGROS,09460,35,BURGOS
09-E1-00030,JIMENEZ CORTES  LUCIA / LOPEZ VAQUERO  MELIDA,947291230,CALLE REAL                                              ,VILLALBILLA DE BURGOS,VILLALBILLA DE BURGOS,,14,BURGOS
09-E1-00031,GOMEZ CABRERA  MARIA DEL MAR,,CALLE CALLE REAL,GUMIEL DE MERCADO,GUMIEL DE MERCADO,09443,51,BURGOS
09-E1-00033,CASTAÑO CARRASCAL  DAVID,947534372,CALLE SANTO TOMAS DE AQUINO                             ,CALERUEGA,CALERUEGA,09451,6,BURGOS
09-E1-00034,JIMENO SANCHEZ  MARIA JOSEFA,947552006,CALLE BOTICA (DE LA)                                    ,PEÑARANDA DE DUERO,PEÑARANDA DE DUERO,09410,19,BURGOS
09-E1-00035,SIMON GONZALEZ  RAQUEL,947532381,CALLE AVDA. DEL CID,SOTILLO DE LA RIBERA,SOTILLO DE LA RIBERA,,77,BURGOS
09-E1-00036,JABONERO CALLEJO  AGUSTIN,947553100,CALLE GENERAL SANZ PASTOR                               ,ZAZUAR,ZAZUAR,09490,47,BURGOS
09-E1-00037,VALLADARES MONTOYA  CARMEN,947580020,CALLE CERCAS                                            ,BELORADO,BELORADO,09250,1,BURGOS
09-E1-00038,RUIZ LOPEZ  MARIA CANDELAS,947583019,CALLE PUENTE                                            ,CEREZO DE RIO TIRON,CEREZO DE RIO TIRON,09270,5,BURGOS
09-E1-00039,FEBREL RUIZ  SERGIO NICOLAS,947586041,CALLE SAN ROQUE                                         ,PRADOLUENGO,PRADOLUENGO,09260,1,BURGOS
09-E1-00040,PEREZ MANRIQUE  MARIA NATIVIDAD,947358643,CALLE MERCADO                                           ,FRIAS,FRIAS,09211,23,BURGOS
09-E1-00041,FERNANDEZ DE BETOÑO ATXIAGA  AMAIA,947591544,PLAZA SANTA CASILDA                                     ,BRIVIESCA,BRIVIESCA,09240,1,BURGOS
09-E1-00042,VILLANUEVA RIVERA  AMADEO DEMETRIO,947590019,CALLE MAYOR                                             ,BRIVIESCA,BRIVIESCA,09240,9,BURGOS
09-E1-00044,CEREZO MONTEJO  REBECA,,CALLE POSADAS                                           ,CUBO DE BUREBA,CUBO DE BUREBA,09280,2,BURGOS
09-E1-00045,MARCOS URTURI  NOEMI,,CALLE AQUILINO PUERTA                                   ,MONASTERIO DE RODILLA,MONASTERIO DE RODILLA,09292,57,BURGOS
09-E1-00046,DE LUCAS DE ROSE  FRANSCICO PABLO,947300096,CALLE AGUA                                              ,OÑA,OÑA,09530,38,BURGOS
09-E1-00047,ROJO ESCUDERO  MARIA CRISTINA,947484208,CALLE SAN ISIDRO                                        ,CARDEÑAJIMENO,CARDEÑAJIMENO,,20,BURGOS
09-E1-00049,HERRERO DIEZ DEL CORRAL  CARMEN,,PLAZA IGLESIA                                           ,POZA DE LA SAL,POZA DE LA SAL,09246,5,BURGOS
09-E1-00050,GARCIA PUENTE  MARIA MILAGROS,947307385,CMNO  FRIAS                                             ,TRESPADERNE,TRESPADERNE,09540,8,BURGOS
09-E1-00051,CORBALAN TUTAU  MARIA DOLORES,947377040,CALLE CARRETERILLA                                      ,CASTROJERIZ,CASTROJERIZ,09110,S/N,BURGOS
09-E1-00052,TORTAJADA GOITIA  CARMEN,947141266,CALLE ELADIO BUSTAMANTE                                 ,VILLASANA DE MENA,VALLE DE MENA,09580,18,BURGOS
09-E1-00053,GUTIERREZ GUTIERREZ  EVA / RODRIGUEZ HERVELLA  AVELINO,947484836,CTRA  POZA                                              ,BURGOS,BURGOS,09007,12,BURGOS
09-E1-00054,SANTOS ALVAREZ  MARIA CONCEPCION,947165658,PLAZA ESCUELAS                                          ,BALBASES (LOS),BALBASES  LOS,09119,9,BURGOS
09-E1-00055,CALLEJA SETIEN  ITZIAR,947358776,CALLE CARRETERA MIRANDA                                 ,QUINTANA MARTIN GALINDEZ,VALLE DE TOBALINA,09210,27,BURGOS
09-E1-00057,GOZALO NOGALES  MARIA HENAR,947221594,CALLE PLAZA JURISTA CIRILO ALVAREZ MARTINEZ,BURGOS,BURGOS,,9,BURGOS
